Date,Rendement_Bitcoin,Rendement_gold,Rendement_nvidia
2020-07-08,130.97447151309757,119.1414174465022,170.32344114704904
2020-07-09,128.27717436595464,118.04201295726719,175.20840280093367
2020-07-10,128.96330453623713,117.91767554479419,174.70823607869292
2020-07-11,128.24384010666964,,
2020-07-12,129.18136614905967,,
2020-07-13,128.38689963610102,118.71605261435769,167.5891963987996
2020-07-14,128.52301452818133,118.67024409397291,173.00766922307434
2020-07-15,127.76327120197783,118.69642039133565,170.50683561187063
2020-07-16,126.88269118586626,117.81297035534324,168.97299099699902
2020-07-17,127.1674213172588,118.44774556638964,170.09003001000335
2020-07-18,127.36742687296869,,
2020-07-19,127.89244145670713,,
2020-07-20,127.2590905302925,118.9320070676003,175.24174724908303
2020-07-21,130.38278841078917,120.6661867678817,172.20740246748917
2020-07-22,132.13839273313147,122.05353052810679,174.04134711570524
2020-07-23,133.33148143003973,123.68300503893725,168.88962987662555
2020-07-24,132.59257201588932,124.17381061448857,169.9566522174058
2020-07-25,134.78291063640657,,
2020-07-26,137.9552209783605,,
2020-07-27,153.09869718603292,126.36607551861789,173.74124708236079
2020-07-28,151.51115308758577,127.256069628951,170.30676892297433
2020-07-29,154.25289591377538,127.83194817093124,174.47482494164723
2020-07-30,154.11816994916526,128.70885413258296,176.95898632877626
2020-07-31,157.41270590849746,129.95877233165371,176.97565855285097
2020-08-01,163.93649823606211,,
2020-08-02,153.70982527292423,,
2020-08-03,155.89877496597126,129.98494862901643,183.56118706235412
2020-08-04,155.3473707602989,132.25574242523396,187.19573191063691
2020-08-05,162.992027556321,134.10771546364768,188.1793931310437
2020-08-06,163.29759159976666,135.42307440612527,188.99633211070358
2020-08-07,161.00447234645407,132.71382762908189,186.72890963654552
2020-08-08,163.39759437762157,,
2020-08-09,162.24339564987918,,
2020-08-10,165.13236478791077,133.47948432694196,186.14538179393131
2020-08-11,158.20439456651573,127.36731889274262,180.89363121040347
2020-08-12,160.52112558682185,127.5440088999411,190.73024341447152
2020-08-13,163.48926359065527,128.94444080884759,190.78026008669559
2020-08-14,163.21008916914357,127.59636149466658,192.79759919973324
2020-08-15,164.52262562848966,,
2020-08-16,165.26847967999109,,
2020-08-17,170.5964054557071,130.79641384726131,205.68522840946986
2020-08-18,165.94349843051194,131.73876055231989,204.4181393797933
2020-08-19,163.20175560432236,128.93789673450692,202.38412804268089
2020-08-20,164.68374121503376,127.380407041424,202.41747249083028
2020-08-21,160.13222589516377,127.41312741312743,211.4538179393131
2020-08-22,161.96699908330785,,
2020-08-23,161.693380371677,,
2020-08-24,163.24759021083918,126.90268961455405,212.07069023007671
2020-08-25,157.2932581460596,125.84909364570382,212.57085695231743
2020-08-26,159.20303341759492,127.77305150186507,212.95431810603537
2020-08-27,157.329370260285,126.47078070806886,210.53684561520507
2020-08-28,160.10722520070001,129.23892415417842,219.20640213404471
2020-08-29,159.28359121086697,,
2020-08-30,162.53229256368232,,
2020-08-31,161.72949248590237,129.48105490478372,222.974324774925
2020-09-01,165.48931914775409,129.50068712780578,230.42680893631214
2020-09-02,158.52245895719324,127.26261370329168,239.17972657552519
2020-09-03,141.23725659046082,126.81107257378443,216.98899633211073
2020-09-04,145.45542931748102,126.58202997186048,210.43681227075695
2020-09-05,140.17333814828191,,
2020-09-06,143.00952804244562,,
2020-09-07,144.12761465596267,127.1644525881814,
2020-09-08,140.65112919803329,126.92232183757608,198.61620540180061
2020-09-09,142.01227811883663,127.9301092860415,211.98732910970324
2020-09-10,143.61093363704549,128.54525227406583,205.26842280760255
2020-09-11,144.31234200950027,127.47202408219358,202.80093364454819
2020-09-12,145.03041751159753,,
2020-09-13,143.42065057362706,,
2020-09-14,148.27217422706184,128.50598782802174,214.60486828942985
2020-09-15,149.79999444429012,128.66958968653884,216.5888629543181
2020-09-16,152.08061335037084,128.95098488318828,208.63621207069025
2020-09-17,151.96672129781382,127.60290556900729,207.80260086695566
2020-09-18,151.85144031778663,128.40128263857079,203.21773924641548
2020-09-19,153.91816439345536,,
2020-09-20,151.69171365871276,,
2020-09-21,144.68179671657543,125.03108435311825,208.68622874291432
2020-09-22,146.27489652490345,124.83476212289773,210.703567855952
2020-09-23,142.188671907553,122.26948498134939,202.13404468156054
2020-09-24,149.16247673546485,122.82573130030758,205.86862287429148
2020-09-25,148.45967943553987,122.13205942019502,214.63821273757921
2020-09-26,149.002750076391,,
2020-09-27,149.67360204450125,,
2020-09-28,148.520792244229,123.17911131470454,217.32244081360452
2020-09-29,150.57223811772548,124.54682285190761,220.50683561187063
2020-09-30,149.67221311703102,124.0429291276749,225.57519173057688
2020-10-01,147.51104197338813,125.40409659053728,226.99233077692566
2020-10-02,146.84157893274812,124.83476212289773,217.77259086362122
2020-10-03,146.45129031361984,,
2020-10-04,148.23883996777687,,
2020-10-05,149.85832939803882,125.65277141548327,227.45915305101704
2020-10-06,147.262423956221,124.91329101498594,229.02634211403802
2020-10-07,148.21106141837274,123.73535763366273,232.81093697899297
2020-10-08,151.72782577293813,124.01675283031214,230.72690896965656
2020-10-09,153.53482041167811,126.05195995026503,229.45981993997998
2020-10-10,156.92658129392484,,
2020-10-11,157.93494263729548,,
2020-10-12,160.19750548626351,126.22864995746352,237.17905968656217
2020-10-13,158.66829634156502,123.98403245860874,237.54584861620538
2020-10-14,158.62107280757797,124.81512989987567,234.99499833277758
2020-10-15,159.76832689796939,124.91983508932663,232.91097032344115
2020-10-16,157.25436817689379,124.75623323080951,230.27675891963989
2020-10-17,157.811328092447,,
2020-10-18,159.82249506930748,,
2020-10-19,163.24620128336898,125.10306917086579,225.04168056018673
2020-10-20,165.4698741631712,125.34519992147113,227.50916972324111
2020-10-21,177.90355287646881,126.26791440350765,225.49183061020338
2020-10-22,180.20778354954302,124.63843989267718,222.75758586195403
2020-10-23,179.645267924109,124.6777043387213,226.5755251750584
2020-10-24,182.18839412205895,,
2020-10-25,181.00780577238257,,
2020-10-26,181.41615044862357,124.71042471042473,219.08969656552185
2020-10-27,189.69693602600071,125.11615731954717,223.3577859286429
2020-10-28,184.43428984138447,122.97624501014333,210.52017339113038
2020-10-29,186.91074752076446,122.24330868398665,217.13904634878295
2020-10-30,188.33717603266757,123.02205353052813,208.96965655218409
2020-10-31,191.63448984694017,,
2020-11-01,191.10808633573154,,
2020-11-02,188.35800994472066,123.84660689745436,209.75325108369458
2020-11-03,194.72624239562208,125.0179962044369,217.07235745248417
2020-11-04,196.47212422567293,124.08873764805971,229.97665888629544
2020-11-05,216.49351370871415,127.40003926444605,236.07869289763252
2020-11-06,216.36573238145505,127.72069890713959,242.78092697565859
2020-11-07,205.95572099224978,,
2020-11-08,215.05736270451959,,
2020-11-09,212.88369121364482,121.35331457365356,227.25908636212071
2020-11-10,212.55590433067587,122.79301092860415,212.90430143381127
2020-11-11,218.00327786882968,121.82448792618284,223.70790263421142
2020-11-12,226.32156448790246,122.59014462404294,224.35811937312437
2020-11-13,226.73129809161367,123.43433021399125,221.69056352117374
2020-11-14,223.21453373704821,,
2020-11-15,221.5755993222034,,
2020-11-16,232.17033806494624,123.53903540344217,225.32510836945653
2020-11-17,245.3165365704603,123.36234539624371,223.77459153051018
2020-11-18,246.87630211950329,122.62940907008706,223.89129709903298
2020-11-19,247.27770215839325,121.81794385184217,224.07469156385466
2020-11-20,259.38498291619214,122.53124795497679,218.20606868956318
2020-11-21,259.551654212617,,
2020-11-22,255.74182616183782,,
2020-11-23,255.2793133142587,120.26699823309994,219.07302434144717
2020-11-24,266.01572265896272,118.09436555199267,216.03867955985331
2020-11-25,260.04889024695126,118.15326222105884,220.65688562854285
2020-11-26,238.36773243701214,117.01459328577972,
2020-11-27,237.88299674990969,117.01459328577972,221.09036345448487
2020-11-28,246.26656296008224,,
2020-11-29,252.58340509458597,,
2020-11-30,273.59232200894468,116.54341993325046,223.42447482494165
2020-12-01,260.71140865024029,119.03016818271057,223.24108036012004
2020-12-02,266.93519264424009,119.76964858320791,225.82527509169722
2020-12-03,269.91444206783524,120.48295268634253,223.34111370456822
2020-12-04,259.14747631878663,120.410967868595,226.04201400466826
2020-12-05,265.93099808328009,,
2020-12-06,269.17275479874439,,
2020-12-07,266.26711853107031,122.11242719717296,226.85895298432811
2020-12-08,254.54318175504872,122.6948498134939,222.57419139713238
2020-12-09,257.59048862468404,120.31280675348472,215.58852950983663
2020-12-10,253.440373343704,120.2408219357372,216.272090696899
2020-12-11,250.33473152031996,120.64655454485964,216.95565188396131
2020-12-12,261.24197894385958,,
2020-12-13,266.35184310675294,,
2020-12-14,267.69910275285423,119.89398599568091,221.89063021007004
2020-12-15,269.93666490735853,121.41221124271972,222.74091363787929
2020-12-16,296.56657129364703,121.66088606766571,220.79026342114042
2020-12-17,317.02825078474405,123.7091813363,222.42414138046013
2020-12-18,321.22975638212171,123.61102022118973,221.27375791930643
2020-12-19,331.17586599627765,,
2020-12-20,326.04933470374181,,
2020-12-21,315.68238006611296,123.21183168640798,222.27409136378796
2020-12-22,330.88696908247448,122.39382239382239,221.37379126375461
2020-12-23,323.03536209339148,122.9042601923958,216.88896298766255
2020-12-24,329.6827689658046,123.23800798377071,216.63887962654221
2020-12-25,342.9206366843523,,
2020-12-26,367.43242867857441,,
2020-12-27,364.7504097336037,,
2020-12-28,375.8132170338065,123.05477390223155,215.07169056352117
2020-12-29,380.23278424400672,123.21837576074866,215.78859619873293
2020-12-30,400.96530459179422,123.90550356652052,219.17305768589532
2020-12-31,402.08616906025168,124.01675283031214,217.65588529509841
2021-01-01,407.78771632545352,,
2021-01-02,447.14158726631297,,
2021-01-03,457.77521597822164,,
2021-01-04,444.77068807466873,127.38695111576467,218.62287429143049
2021-01-05,472.11728103558431,127.89738891433808,223.49116372124044
2021-01-06,511.03086196838791,124.90020286630457,210.3034344781594
2021-01-07,548.07355759882216,125.22740658333879,222.47415805268423
2021-01-08,563.89483041195592,120.10994044892351,221.35711903967993
2021-01-09,557.68076891024748,,
2021-01-10,530.461957276591,,
2021-01-11,493.68454679296644,121.11772789738893,227.09236412137383
2021-01-12,473.29231367537983,120.68581899090374,224.82494164721575
2021-01-13,519.21164476791012,121.386034945357,225.60853617872624
2021-01-14,544.12205894608178,121.15699234343305,220.07335778592866
2021-01-15,511.76143781771719,119.75001636018587,214.40480160053349
2021-01-16,500.28473013139251,,
2021-01-17,497.78604961248919,,
2021-01-18,508.53079252201445,120.42405601727637,
2021-01-19,500.05416817133812,120.54184935540869,217.15571857285764
2021-01-20,492.74007611322537,122.1451475688764,222.84094698232747
2021-01-21,428.37439928886909,122.10588312283228,231.21040346782263
2021-01-22,458.35300980582792,121.47110791178588,228.62620873624545
2021-01-23,445.6915469874163,,
2021-01-24,447.80827245201255,,
2021-01-25,447.96105447373537,121.40566716837904,227.62587529176392
2021-01-26,451.43059529431372,121.12427197172961,223.99133044348116
2021-01-27,422.28950804189003,120.73162751128854,215.37179059686565
2021-01-28,463.55176532681463,120.48949676068321,217.5891963987996
2021-01-29,476.42712297563827,121.0850075256855,216.57219073024345
2021-01-30,476.1673935387094,,
2021-01-31,459.84749576377118,,
2021-02-01,465.508764132337,121.9750016360186,220.69023007669225
2021-02-02,492.86369065807378,119.97905896210983,226.02534178059352
2021-02-03,522.88674685407932,120.09030822590145,225.57519173057688
2021-02-04,513.65454595961,117.21745959034095,227.80926975658554
2021-02-05,531.92588683018971,118.64406779661019,226.59219739913303
2021-02-06,545.2457012694797,,
2021-02-07,539.63860107225207,,
2021-02-08,644.40262229506368,120.03141155683529,240.73024341447149
2021-02-09,645.970721408928,120.24736601007788,237.79593197732578
